Date,Duration,Color
2012-09-25,2,
2012-09-26,2,
2012-09-27,2,
2012-10-02,2,
2012-10-04,4,6
2012-10-05,2,8
2012-10-15,2,
2012-10-17,5,
2012-10-22,2,
2012-10-23,2,1
2012-10-25,2,
2012-10-29,2,
2012-11-01,7,5
2013-01-14,2,
2013-01-14,2,
2013-01-15,2,7
2013-01-15,2,
2013-01-16,3,11
2013-01-17,2,
2013-01-18,2,
2013-01-21,6,
2013-01-22,2,10
2013-01-22,2,
2013-01-23,11,
2013-01-24,2,
2013-01-25,2,
2013-01-25,3,
2013-01-28,2,
2013-01-29,2,6
2013-01-29,2,8
2013-01-30,2,
2013-01-30,2,
2013-01-31,2,
2013-02-01,2,1
2013-02-04,2,
2013-02-05,6,
2013-02-05,2,5
2013-02-06,2,
2013-02-06,4,
2013-02-07,2,7
2013-02-08,2,
2013-02-11,2,11
2013-02-12,2,
2013-02-12,2,
2013-02-13,5,
2013-02-13,2,10
2013-02-13,2,
2013-02-14,9,
2013-02-14,2,
2013-02-15,1,9
2013-02-15,2,
2013-02-18,0,
2013-02-19,2,8
2013-02-20,2,
2013-02-22,2,6
2013-02-22,2,8
2013-02-25,2,
2013-02-26,2,
2013-02-27,2,
2013-02-27,2,1
2013-03-04,2,
2013-03-06,2,
2013-03-06,2,5
2013-03-18,2,
2013-03-19,2,
2013-03-21,2,7
2013-03-25,2,
2013-03-26,2,11
2013-03-28,2,
2013-04-08,2,
2013-04-09,2,
2013-04-11,2,10
2013-04-15,2,
2013-04-16,2,
2013-04-18,2,
2013-04-22,2,
2013-04-23,,
2013-04-25,2,
